user_id,item_id,job_company,job_scope,rating,user_profile,interaction_type
1,47,Panasonic Appliances Air-Conditioning Malaysia,Manufacturing and Industrial Services,2,Business Professional,click
1,2,Lotus's Malaysia,Retail and Consumer Services,2,Business Professional,view
5,96,Rangkaian Hotel Seri Malaysia,Consumer Services,4,Tech Enthusiast,view
6,120,George Kent,Consumer Services,3,Business Professional,view
6,8,Teach For Malaysia,Education and Training,3,Business Professional,click
8,30,Department of Statistics Malaysia,Consumer Services,5,Healthcare Worker,view
9,25,Human Resource Development (Malaysia),Consumer Services,5,Business Professional,click
10,16,SilTerra Malaysia Sdn. Bhd.,Manufacturing and Industrial Services,3,Healthcare Worker,click
10,44,Moore Malaysia,Financial and Banking Services,3,Healthcare Worker,view
10,71,Jabatan Kimia Malaysia,Consumer Services,2,Healthcare Worker,favorite
11,73,Alliance Steel (Malaysia),Manufacturing and Industrial Services,2,Healthcare Worker,favorite
12,46,ASE Electronics Malaysia,Manufacturing and Industrial Services,5,Healthcare Worker,view
14,47,Panasonic Appliances Air-Conditioning Malaysia,Manufacturing and Industrial Services,2,Business Professional,view
16,144,SUPA,Technology and IT Services,5,Tech Enthusiast,view
17,34,Beacon Hospital Malaysia,Healthcare and Wellness,4,Business Professional,click
17,121,Agensi Nuklear,Manufacturing and Industrial Services,3,Business Professional,favorite
19,124,STRAND Aerospace,Manufacturing and Industrial Services,1,Tech Enthusiast,favorite
19,48,Free Malaysia Today,Media and Entertainment,1,Tech Enthusiast,view
21,16,SilTerra Malaysia Sdn. Bhd.,Manufacturing and Industrial Services,2,Healthcare Worker,click
23,43,Hanwha Q Cells Malaysia,Manufacturing and Industrial Services,3,Tech Enthusiast,view
23,0,Trapo (Malaysia),Manufacturing and Industrial Services,3,Tech Enthusiast,click
24,68,Jabatan Kastam Diraja Malaysia,Consumer Services,3,Tech Enthusiast,favorite
25,15,Monash University Malaysia,Education and Training,4,Healthcare Worker,favorite
25,124,STRAND Aerospace,Manufacturing and Industrial Services,3,Healthcare Worker,view
26,120,George Kent,Consumer Services,5,Healthcare Worker,favorite
27,31,Delivery Hero (Malaysia),Consumer Services,1,Business Professional,view
28,6,Lemon Sky Studios (Malaysia),Media and Entertainment,3,Business Professional,view
31,147,BRAND'S Suntory,Manufacturing and Industrial Services,4,Healthcare Worker,favorite
